Brand,Model,Rating(out of 5),Top Speed (kmph),Range (km),Weight (kg),Charging Time (hrs),Price,Class,Load Capacity
Mahindra,Treo Yaari,-,-,-,-,-,169000,3W,-
Mini Metro,Cover Body Electric Loader,-,-,-,-,-,171000,3W,400
Lohia,Humsafar,-,-,-,-,-,180000,3W,990
Gem EV,Canteen Van,-,-,-,-,-,180000,3W,321
Gem EV,Samrat Vegetable Cart,-,-,-,-,-,180000,3W,600
Mahindra,E-Alfa Super,-,-,-,-,-,182000,3W,-
Gem EV,Prince Pro,-,-,-,-,-,200000,3W,500
Kinetic,Safar Shakti Garbage C,-,-,-,-,-,232000,3W,750
Baba Electric,Hydraulic Garbage E Loader,-,-,-,-,-,265000,3W,-
ATUL,Shakti Cargo,-,-,-,-,-,283000,3W,1020
Piaggio,Ape E City,-,-,-,-,-,284000,3W,689
Omega Seiki Mobility,Rage Plus Swap,-,-,-,-,-,292000,3W,565
Omega Seiki Mobility,Stream City,-,-,-,-,-,301000,3W,-
Piaggio,Ape E Xtra,-,-,-,-,-,312000,3W,975
Montra,Super Auto,-,-,-,-,-,315000,3W,-
Mahindra,Treo,-,-,-,-,-,321000,3W,350
Gayam Motors,Taskman,-,-,-,-,-,325000,3W,500
Gayam Motors,Urban ET,-,-,-,-,-,325000,3W,500
Keto Motors,Trilux 1.0,-,-,-,-,-,325000,3W,-
Eblu,Rozee,-,-,-,-,-,339000,3W,-
Kinetic,Safar Shakti Jumbo,-,-,-,-,-,340000,3W,990
Omega Seiki Mobility,Stream,-,-,-,-,-,340000,3W,960
Mahindra,Zor Grand,-,-,-,-,-,350000,3W,998
Omega Seiki Mobility,Rage+ Rapid EV,-,-,-,-,-,359000,3W,960
Mahindra,Treo Plus,-,-,-,-,-,360000,3W,702
Greaves Mobility,Eltra City,-,-,-,-,-,367000,3W,753
Omega Seiki Mobility,Rage Plus,-,-,-,-,-,370000,3W,-
Keto Motors,Bulke Plus 2.2,-,-,-,-,-,370000,3W,-
Bajaj,Maxima XL,-,-,-,-,-,377000,3W,-
Dandera,Otua,-,-,-,-,-,380000,3W,900
Mahindra,Treo Zor,-,-,-,-,-,383000,3W,995
Euler Motors,HiLoad,-,-,-,-,-,394000,3W,1413
Omega Seiki Mobility,Rage+ Rapid EV 140 cft Container,-,-,-,-,-,399000,3W,960
Omega Seiki Mobility,Rage Plus RapidEV Pro,-,-,-,-,-,406000,3W,565
