name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
Khoa,L004,16.34,0.0,16.53,1322.0,42.51,12936.0,5664.0,790.0,5266.0,525.0,265.0,0.0,16.14,0.8,1.57,0.91,0.0,12.86
"Egg, poultry, whole, raw",M001,13.28,0.0,0.0,564.0,76.51,2958.0,3481.0,1152.0,3090.0,1022.0,28.06,366.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, white, raw",M002,10.84,0.0,0.0,187.0,86.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, yolk, raw",M003,15.74,0.0,0.0,1242.0,53.57,8580.0,10068.0,3238.0,8919.0,2919.0,64.43,1076.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, whole, boiled",M004,13.43,0.0,0.0,618.0,73.46,3464.0,3991.0,1294.0,3573.0,1169.0,29.4,365.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, white, boiled",M005,12.37,0.0,0.0,220.0,83.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, yolk, boiled",M006,16.13,0.0,0.0,1290.0,51.42,8819.0,10643.0,3333.0,9525.0,3009.0,63.64,1085.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, poultry, omlet",M007,16.53,0.0,0.0,710.0,68.48,3179.0,4615.0,3168.0,4247.0,2679.0,34.36,316.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, country hen, whole, raw",M008,13.14,0.0,0.0,704.0,72.96,3792.0,5061.0,1936.0,4765.0,1518.0,39.95,355.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, country hen, whole, boiled",M009,14.43,0.0,0.0,767.0,70.43,4074.0,5747.0,1882.0,5433.0,1401.0,29.28,369.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, country hen, omlet",M010,14.8,0.0,0.0,855.0,67.8,4886.0,6424.0,2317.0,6031.0,1773.0,47.72,318.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, duck, whole, boiled",M011,13.8,0.0,0.0,738.0,71.61,3598.0,6098.0,1745.0,5623.0,1495.0,45.95,856.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, duck, whole, raw",M012,14.6,0.0,0.0,760.0,70.53,3373.0,6063.0,1684.0,5638.0,1453.0,45.94,839.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, duck, whole, omlet",M013,15.1,0.0,0.0,804.0,68.9,3871.0,6483.0,1886.0,5963.0,1579.0,61.43,815.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, quial, whole, raw",M014,12.39,0.0,0.0,635.0,75.11,2788.0,4210.0,2399.0,3717.0,2112.0,42.84,833.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egg, quial, whole, boiled",M015,13.03,0.0,0.0,647.0,74.41,2726.0,4391.0,2403.0,3919.0,2137.0,41.07,855.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chicken, poultry, leg, skinless",N001,19.44,0.0,0.0,1605.0,67.61,1157.0,1560.0,661.0,1342.0,627.0,25.97,84.25,0.0,0.0,0.0,0.0,0.0,0.0
"Chicken, poultry, thigh, skinless",N002,18.18,0.0,0.0,836.0,67.58,1071.0,1461.0,520.0,1263.0,490.0,22.52,91.93,0.0,0.0,0.0,0.0,0.0,0.0
"Chicken, poultry, breast, skinless",N003,21.81,0.0,0.0,704.0,67.15,816.0,991.0,367.0,862.0,346.0,12.63,61.55,0.0,0.0,0.0,0.0,0.0,0.0
"Chicken, poultry, wing, skinless",N004,17.42,0.0,0.0,807.0,67.48,1241.0,1777.0,658.0,1524.0,623.0,27.64,54.52,0.0,0.0,0.0,0.0,0.0,0.0
"Poultry, chicken, liver",N005,21.57,0.0,0.0,518.0,73.2,1328.0,681.0,1013.0,681.0,680.0,140.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0
"Poultry, chicken, gizzard",N006,18.22,0.0,0.0,386.0,78.05,772.0,716.0,464.0,604.0,342.0,0.0,57.24,0.0,0.0,0.0,0.0,0.0,0.0
"Country hen, leg, with skin",N007,17.01,0.0,0.0,723.0,70.02,534.0,681.0,400.0,616.0,273.0,11.45,87.95,0.0,0.0,0.0,0.0,0.0,0.0
"Country hen, thigh, with skin",N008,18.29,0.0,0.0,785.0,67.46,610.0,750.0,360.0,687.0,287.0,12.91,91.81,0.0,0.0,0.0,0.0,0.0,0.0
"Country hen, breast, with skin",N009,22.08,0.0,0.0,753.0,66.53,419.0,453.0,262.0,422.0,182.0,7.26,66.03,0.0,0.0,0.0,0.0,0.0,0.0
"Country hen, wing, with skin",N010,18.65,0.0,0.0,764.0,68.01,688.0,836.0,451.0,763.0,305.0,14.03,55.42,0.0,0.0,0.0,0.0,0.0,0.0
"Duck, meat, with skin",N011,19.07,0.0,0.0,547.0,73.49,345.0,2215.0,304.0,748.0,217.0,86.54,81.76,0.0,0.0,0.0,0.0,0.0,0.0
"Emu, meat, skinless",N012,22.65,0.0,0.0,556.0,71.65,200.0,242.0,144.0,221.0,90.0,7.97,72.69,0.0,0.0,0.0,0.0,0.0,0.0
"Guinea fowl, meat, with skin",N013,20.52,0.0,0.0,469.0,75.21,1138.0,928.0,995.0,879.0,816.0,30.49,87.48,0.0,0.0,0.0,0.0,0.0,0.0
"Pigeon, meat, with skin",N014,17.94,0.0,0.0,528.0,74.61,1828.0,2588.0,1282.0,2305.0,958.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
"Quail, meat, skinless",N015,20.92,0.0,0.0,576.0,71.58,2024.0,2789.0,810.0,2364.0,788.0,22.5,77.87,0.0,0.0,0.0,0.0,0.0,0.0
"Turkey, leg, with skin",N016,20.3,0.0,0.0,647.0,69.24,980.0,938.0,1058.0,938.0,908.0,150.0,83.44,0.0,0.0,0.0,0.0,0.0,0.0
"Turkey, thigh, with skin",N017,20.46,0.0,0.0,581.0,72.17,1015.0,927.0,1035.0,927.0,904.0,131.0,85.35,0.0,0.0,0.0,0.0,0.0,0.0
"Turkey, breast, with skin",N018,21.96,0.0,0.0,671.0,68.44,934.0,884.0,1055.0,884.0,886.0,170.0,81.28,0.0,0.0,0.0,0.0,0.0,0.0
"Turkey, wing, with skin",N019,21.91,0.0,0.0,771.0,66.16,897.0,826.0,913.0,826.0,787.0,126.0,80.01,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, shoulder, meat",O001,20.33,0.0,0.0,787.0,66.39,5444.0,4902.0,643.0,4563.0,432.0,33.28,82.18,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, chops",O002,20.39,0.0,0.0,568.0,72.46,2877.0,2346.0,259.0,2193.0,184.0,16.12,88.37,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, legs",O003,22.07,0.0,0.0,669.0,68.85,3665.0,3038.0,567.0,2805.0,374.0,21.85,82.52,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, brain",O004,13.82,0.0,0.0,533.0,76.74,2138.0,1447.0,939.0,1304.0,43.2,80.48,1340.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, tongue",O005,16.63,0.0,0.0,789.0,68.4,5028.0,4916.0,758.0,4498.0,504.0,67.38,206.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, lungs",O006,16.86,0.0,0.0,401.0,79.03,1564.0,894.0,374.0,836.0,135.0,13.74,448.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, heart",O007,19.38,0.0,0.0,492.0,75.15,1939.0,1025.0,427.0,953.0,292.0,9.52,122.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, liver",O008,20.32,0.0,0.0,526.0,73.37,1770.0,921.0,924.0,879.0,368.0,56.53,415.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, tripe",O009,15.36,0.0,0.0,386.0,80.94,1682.0,1154.0,246.0,1063.0,154.0,11.7,113.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, spleen",O010,18.45,0.0,0.0,401.0,77.93,1200.0,616.0,352.0,575.0,143.0,10.56,243.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, kidneys",O011,15.6,0.0,0.0,374.0,80.26,1143.0,566.0,480.0,523.0,236.0,10.37,419.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, tube (small intestine)",O012,12.92,0.0,0.0,525.0,78.12,4445.0,2504.0,619.0,2339.0,340.0,33.46,176.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goat, testis",O013,12.32,0.0,0.0,298.0,84.29,1215.0,590.0,382.0,552.0,88.56,9.27,118.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, shoulder",O014,18.24,0.0,0.0,840.0,66.51,6916.0,5096.0,1099.0,4598.0,717.0,141.0,74.72,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, chops",O015,18.0,0.0,0.0,496.0,75.66,2773.0,1916.0,309.0,1766.0,220.0,25.59,86.14,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, leg",O016,21.42,0.0,0.0,686.0,68.26,3745.0,2605.0,669.0,2377.0,472.0,33.55,84.84,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, brain",O017,13.05,0.0,0.0,492.0,78.36,2040.0,1183.0,866.0,1060.0,41.0,85.88,1336.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, tongue",O018,16.61,0.0,0.0,783.0,68.7,5576.0,5875.0,938.0,4999.0,397.0,471.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, lungs",O019,16.12,0.0,0.0,363.0,80.41,1138.0,767.0,301.0,730.0,124.0,8.92,431.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, heart",O020,18.19,0.0,0.0,445.0,77.06,1677.0,873.0,332.0,815.0,206.0,29.15,112.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, liver",O021,22.26,0.0,0.0,559.0,69.71,1822.0,772.0,1014.0,742.0,346.0,74.97,430.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, tripe",O022,16.76,0.0,0.0,435.0,78.81,1962.0,1534.0,210.0,1417.0,134.0,13.1,113.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, spleen",O023,16.02,0.0,0.0,384.0,79.66,1533.0,764.0,466.0,716.0,168.0,14.37,262.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheep, kidneys",O024,16.22,0.0,0.0,384.0,79.77,1127.0,588.0,463.0,540.0,222.0,8.25,299.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, shoulder",O025,20.56,0.0,0.0,889.0,63.84,7046.0,6227.0,1008.0,5669.0,575.0,153.0,66.36,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, chops",O026,19.82,0.0,0.0,585.0,72.4,3031.0,2680.0,437.0,2440.0,249.0,66.06,45.97,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, round (leg)",O027,22.64,0.0,0.0,658.0,68.04,2998.0,3280.0,480.0,3026.0,201.0,67.9,55.81,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, brain",O028,10.55,0.0,0.0,523.0,78.71,2490.0,1869.0,848.0,1653.0,39.04,56.26,1668.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, tongue",O029,15.63,0.0,0.0,731.0,70.97,6287.0,4741.0,484.0,4302.0,341.0,56.1,141.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, lungs",O030,15.66,0.0,0.0,351.0,80.83,1198.0,647.0,244.0,588.0,92.04,6.14,334.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, heart",O031,17.68,0.0,0.0,433.0,77.77,1479.0,848.0,490.0,780.0,351.0,11.43,92.73,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, liver",O032,20.73,0.0,0.0,499.0,74.15,1543.0,826.0,566.0,740.0,236.0,8.51,261.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, tripe",O033,13.1,0.0,0.0,316.0,83.74,1371.0,833.0,95.26,767.0,49.93,9.64,82.66,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, spleen",O034,17.42,0.0,0.0,378.0,79.03,1160.0,480.0,393.0,442.0,127.0,12.22,353.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beef, kidneys",O035,17.09,0.0,0.0,439.0,77.59,1743.0,835.0,291.0,790.0,148.0,8.72,439.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, shoulder",O036,20.98,0.0,0.0,633.0,70.49,3510.0,2647.0,689.0,2452.0,388.0,69.72,58.27,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, chops",O037,22.47,0.0,0.0,524.0,72.66,1966.0,1034.0,449.0,966.0,311.0,32.78,62.05,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, round (leg)",O038,21.1,0.0,0.0,615.0,71.13,2263.0,2433.0,497.0,2207.0,213.0,51.96,50.1,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, brain",O039,9.84,0.0,0.0,448.0,81.19,2202.0,1460.0,603.0,1357.0,45.0,45.48,1345.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, tongue",O040,17.78,0.0,0.0,737.0,69.44,5630.0,4406.0,737.0,4050.0,434.0,46.48,107.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, heart",O041,18.84,0.0,0.0,459.0,73.44,1489.0,696.0,773.0,656.0,563.0,11.84,130.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, liver",O042,21.02,0.0,0.0,503.0,73.66,1616.0,670.0,643.0,618.0,271.0,14.64,306.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, spleen",O043,17.71,0.0,0.0,379.0,78.65,1030.0,513.0,397.0,474.0,118.0,9.7,360.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calf, kidneys",O044,15.16,0.0,0.0,387.0,80.23,1464.0,660.0,491.0,613.0,243.0,8.65,271.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mithun, shoulder",O045,19.05,0.0,0.0,736.0,68.86,4436.0,2157.0,3613.0,2049.0,2339.0,385.0,45.07,0.0,0.0,0.0,0.0,0.0,0.0
"Mithun, chops",O046,18.19,0.0,0.0,536.0,73.81,2736.0,1276.0,1596.0,1206.0,1095.0,160.0,46.99,0.0,0.0,0.0,0.0,0.0,0.0
"Mithun, round (leg)",O047,19.61,0.0,0.0,485.0,72.25,1442.0,1918.0,1700.0,1870.0,1056.0,186.0,44.01,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, shoulder",O048,17.41,0.0,0.0,993.0,62.92,6887.0,8114.0,2129.0,7696.0,1839.0,170.0,44.38,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, chops",O049,19.41,0.0,0.0,748.0,68.4,4803.0,4972.0,660.0,4731.0,521.0,112.0,46.98,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, ham",O050,18.83,0.0,0.0,1006.0,61.94,6938.0,8065.0,1875.0,7600.0,1598.0,163.0,47.08,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, lungs",O051,15.13,0.0,0.0,358.0,81.12,1247.0,867.0,469.0,834.0,326.0,21.91,232.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, heart",O052,16.31,0.0,0.0,457.0,77.74,1575.0,1247.0,1019.0,1201.0,725.0,38.38,134.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, liver",O053,19.89,0.0,0.0,484.0,74.88,1325.0,700.0,896.0,678.0,494.0,26.57,216.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, stomach",O054,15.36,0.0,0.0,550.0,76.51,3327.0,2690.0,1090.0,2563.0,841.0,94.61,187.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, spleen",O055,15.13,0.0,0.0,357.0,80.93,1245.0,820.0,397.0,785.0,237.0,23.79,201.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, kidneys",O056,14.35,0.0,0.0,379.0,80.92,1169.0,846.0,714.0,817.0,474.0,26.28,267.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pork, tube (small intestine)",O057,14.96,0.0,0.0,587.0,75.42,4109.0,3174.0,892.0,2984.0,638.0,85.9,180.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hare, shoulder",O058,21.13,0.0,0.0,603.0,71.06,2698.0,1606.0,1720.0,1366.0,1261.0,267.0,79.93,0.0,0.0,0.0,0.0,0.0,0.0
"Hare, chops",O059,20.62,0.0,0.0,445.0,75.47,1028.0,613.0,690.0,523.0,496.0,105.0,77.7,0.0,0.0,0.0,0.0,0.0,0.0
"Hare, leg",O060,20.52,0.0,0.0,503.0,73.0,910.0,514.0,555.0,439.0,407.0,57.78,78.81,0.0,0.0,0.0,0.0,0.0,0.0
"Rabbit, shoulder",O061,20.01,0.0,0.0,635.0,70.75,3142.0,2332.0,1813.0,1828.0,1242.0,365.0,82.56,0.0,0.0,0.0,0.0,0.0,0.0
"Rabbit, chops",O062,22.61,0.0,0.0,565.0,71.03,1907.0,1480.0,1083.0,1170.0,737.0,252.0,79.17,0.0,0.0,0.0,0.0,0.0,0.0
"Rabbit, leg",O063,21.31,0.0,0.0,584.0,70.33,1575.0,1203.0,877.0,935.0,609.0,184.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0
Allathi,P001,21.77,0.0,0.0,406.0,75.91,346.0,165.0,261.0,108.0,9.62,0.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0
Aluva,P002,21.63,0.0,0.0,434.0,75.71,755.0,288.0,490.0,199.0,19.37,0.0,21.97,0.0,0.0,0.0,0.0,0.0,0.0
Anchovy,P003,19.88,0.0,0.0,367.0,77.77,248.0,50.36,290.0,28.58,7.13,0.0,29.56,0.0,0.0,0.0,0.0,0.0,0.0
Ari fish,P004,22.01,0.0,0.0,415.0,77.09,408.0,166.0,319.0,126.0,21.32,0.0,15.99,0.0,0.0,0.0,0.0,0.0,0.0
Betki,P005,15.28,0.0,0.0,284.0,82.52,86.4,53.27,57.36,36.98,9.67,0.0,18.99,0.0,0.0,0.0,0.0,0.0,0.0
Black snapper,P006,19.5,0.0,0.0,377.0,78.09,470.0,251.0,293.0,163.0,22.35,0.0,30.45,0.0,0.0,0.0,0.0,0.0,0.0
Bombay duck,P007,13.53,0.0,0.0,287.0,83.24,398.0,171.0,252.0,102.0,10.25,0.0,46.43,0.0,0.0,0.0,0.0,0.0,0.0
Bommuralu,P008,22.3,0.0,0.0,485.0,76.42,1238.0,701.0,594.0,407.0,35.74,0.0,44.68,0.0,0.0,0.0,0.0,0.0,0.0
Cat fish,P009,22.18,0.0,0.0,456.0,76.22,792.0,430.0,619.0,327.0,22.11,0.0,18.36,0.0,0.0,0.0,0.0,0.0,0.0
Chakla,P010,20.21,0.0,0.0,406.0,78.36,654.0,352.0,422.0,249.0,23.29,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.0
Chappal,P011,17.17,0.0,0.0,317.0,80.61,199.0,74.51,208.0,67.2,17.09,0.0,10.84,0.0,0.0,0.0,0.0,0.0,0.0
Chelu,P012,20.02,0.0,0.0,366.0,76.36,229.0,104.0,179.0,81.83,10.42,0.0,22.64,0.0,0.0,0.0,0.0,0.0,0.0
Chembali,P013,20.06,0.0,0.0,406.0,77.54,700.0,369.0,440.0,254.0,13.59,0.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0
Eri meen,P014,22.3,0.0,0.0,454.0,76.54,739.0,340.0,666.0,235.0,33.47,0.0,13.17,0.0,0.0,0.0,0.0,0.0,0.0
Gobro,P015,19.37,0.0,0.0,362.0,78.84,289.0,138.0,251.0,92.53,14.46,0.0,21.38,0.0,0.0,0.0,0.0,0.0,0.0
Guitar fish,P016,22.56,0.0,0.0,400.0,75.73,114.0,36.87,143.0,32.65,7.11,0.0,10.48,0.0,0.0,0.0,0.0,0.0,0.0
Hilsa,P017,21.8,0.0,0.0,1083.0,60.09,9286.0,6021.0,1801.0,3695.0,136.0,0.0,82.42,0.0,0.0,0.0,0.0,0.0,0.0
Jallal,P018,21.55,0.0,0.0,420.0,77.5,519.0,311.0,389.0,217.0,20.97,0.0,19.26,0.0,0.0,0.0,0.0,0.0,0.0
Jathi vela meen,P019,22.45,0.0,0.0,453.0,75.66,837.0,519.0,294.0,415.0,17.71,0.0,19.98,0.0,0.0,0.0,0.0,0.0,0.0
Kadal bral,P020,18.72,0.0,0.0,368.0,79.66,478.0,192.0,436.0,102.0,14.47,0.0,26.09,0.0,0.0,0.0,0.0,0.0,0.0
Kadali,P021,22.07,0.0,0.0,530.0,73.74,1611.0,818.0,1342.0,602.0,71.26,0.0,19.88,0.0,0.0,0.0,0.0,0.0,0.0
Kalamaara,P022,20.89,0.0,0.0,523.0,75.5,2107.0,1079.0,907.0,604.0,62.64,0.0,28.79,0.0,0.0,0.0,0.0,0.0,0.0
Kalava,P023,19.38,0.0,0.0,374.0,80.02,455.0,250.0,275.0,182.0,11.88,3.5,20.59,0.0,0.0,0.0,0.0,0.0,0.0
Kanamayya,P024,20.19,0.0,0.0,367.0,77.59,209.0,113.0,168.0,75.04,6.06,0.0,22.07,0.0,0.0,0.0,0.0,0.0,0.0
Kannadi paarai,P025,22.09,0.0,0.0,423.0,76.25,479.0,234.0,329.0,175.0,7.57,0.0,18.56,0.0,0.0,0.0,0.0,0.0,0.0
Karimeen,P026,19.68,0.0,0.0,386.0,78.66,577.0,290.0,274.0,207.0,52.96,0.0,15.62,0.0,0.0,0.0,0.0,0.0,0.0
Karnagawala,P027,19.52,0.0,0.0,363.0,79.22,255.0,85.26,301.0,61.06,8.7,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0
Kayrai,P028,20.15,0.0,0.0,454.0,72.69,1096.0,583.0,980.0,401.0,41.99,0.0,29.85,0.0,0.0,0.0,0.0,0.0,0.0
Kiriyan,P029,22.49,0.0,0.0,556.0,72.39,2102.0,1068.0,1069.0,747.0,52.33,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0
Kite fish,P030,23.07,0.0,0.0,413.0,77.61,169.0,67.62,143.0,55.16,10.33,0.0,15.01,0.0,0.0,0.0,0.0,0.0,0.0
Korka,P031,23.72,0.0,0.0,528.0,72.25,1407.0,687.0,898.0,428.0,41.31,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
Kulam paarai,P032,21.62,0.0,0.0,501.0,73.44,1430.0,678.0,1107.0,458.0,49.85,0.0,55.4,0.0,0.0,0.0,0.0,0.0,0.0
Maagaa,P033,20.11,0.0,0.0,366.0,79.23,201.0,96.12,146.0,61.92,9.83,0.0,7.24,0.0,0.0,0.0,0.0,0.0,0.0
Mackerel,P034,21.51,0.0,0.0,423.0,74.55,604.0,216.0,470.0,123.0,28.1,0.0,46.48,0.0,0.0,0.0,0.0,0.0,0.0
Manda clathi,P035,21.27,0.0,0.0,398.0,76.32,337.0,171.0,278.0,107.0,9.67,0.0,21.03,0.0,0.0,0.0,0.0,0.0,0.0
Matha,P036,21.17,0.0,0.0,389.0,79.81,297.0,106.0,188.0,67.56,8.97,0.0,20.55,0.0,0.0,0.0,0.0,0.0,0.0
Milk fish,P037,23.66,0.0,0.0,442.0,72.22,366.0,188.0,321.0,152.0,7.77,0.0,21.38,0.0,0.0,0.0,0.0,0.0,0.0
Moon fish,P038,20.74,0.0,0.0,526.0,74.21,2929.0,932.0,374.0,527.0,56.87,0.0,68.88,0.0,0.0,0.0,0.0,0.0,0.0
Mullet,P039,20.23,0.0,0.0,393.0,76.12,495.0,219.0,378.0,125.0,16.03,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
Mural,P040,19.04,0.0,0.0,345.0,78.96,349.0,80.76,354.0,42.48,5.88,0.0,17.43,0.0,0.0,0.0,0.0,0.0,0.0
Myil meen,P041,22.89,0.0,0.0,410.0,75.57,150.0,55.25,179.0,44.24,7.49,0.0,21.72,0.0,0.0,0.0,0.0,0.0,0.0
Nalla bontha,P042,19.82,0.0,0.0,364.0,79.32,238.0,127.0,166.0,88.99,6.8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Narba,P043,21.95,0.0,0.0,432.0,76.37,603.0,259.0,487.0,199.0,18.28,0.0,16.06,0.0,0.0,0.0,0.0,0.0,0.0
Paarai,P044,21.58,0.0,0.0,435.0,75.77,720.0,276.0,578.0,190.0,22.66,0.0,23.29,0.0,0.0,0.0,0.0,0.0,0.0
Padayappa,P045,19.7,0.0,0.0,360.0,79.18,169.0,83.65,248.0,77.16,8.7,0.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0
Pali kora,P046,19.25,0.0,0.0,394.0,78.63,761.0,352.0,431.0,163.0,20.89,0.0,33.18,0.0,0.0,0.0,0.0,0.0,0.0
Pambada,P047,21.95,0.0,0.0,537.0,74.67,1959.0,857.0,1185.0,564.0,56.78,0.0,54.63,0.0,0.0,0.0,0.0,0.0,0.0
Pandukopa,P048,19.73,0.0,0.0,360.0,77.46,195.0,89.63,182.0,69.08,6.3,0.0,26.43,0.0,0.0,0.0,0.0,0.0,0.0
Parava,P049,21.5,0.0,0.0,467.0,77.19,1184.0,621.0,610.0,464.0,17.88,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0
Parcus,P050,19.87,0.0,0.0,361.0,79.01,166.0,70.55,197.0,58.44,9.57,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0
Parrot fish,P051,20.82,0.0,0.0,375.0,76.84,174.0,135.0,78.0,113.0,2.79,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0
Perinkilichai,P052,20.89,0.0,0.0,387.0,78.33,290.0,101.0,278.0,79.22,9.75,0.0,17.24,0.0,0.0,0.0,0.0,0.0,0.0
Phopat,P053,22.05,0.0,0.0,424.0,76.42,441.0,198.0,456.0,143.0,14.55,0.0,13.53,0.0,0.0,0.0,0.0,0.0,0.0
Piranha,P054,20.46,0.0,0.0,549.0,76.15,1973.0,2357.0,589.0,1941.0,475.0,12.81,97.5,0.0,0.0,0.0,0.0,0.0,0.0
"Pomfret, black",P055,18.91,0.0,0.0,515.0,74.43,2229.0,972.0,1161.0,716.0,51.5,0.0,48.16,0.0,0.0,0.0,0.0,0.0,0.0
"Pomfret, snub nose",P056,21.05,0.0,0.0,375.0,77.81,145.0,72.77,128.0,59.76,4.81,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0
"Pomfret, white",P057,19.02,0.0,0.0,513.0,75.91,2669.0,1049.0,919.0,98.93,14.07,0.0,41.56,0.0,0.0,0.0,0.0,0.0,0.0
Pranel,P058,19.69,0.0,0.0,405.0,79.54,827.0,374.0,419.0,254.0,17.8,0.0,29.01,0.0,0.0,0.0,0.0,0.0,0.0
Pulli paarai,P059,20.06,0.0,0.0,399.0,75.99,593.0,208.0,505.0,149.0,15.81,0.0,47.79,0.0,0.0,0.0,0.0,0.0,0.0
Queen fish,P060,20.97,0.0,0.0,400.0,76.63,693.0,332.0,536.0,221.0,20.4,0.0,21.93,0.0,0.0,0.0,0.0,0.0,0.0
Raai fish,P061,21.61,0.0,0.0,430.0,77.14,654.0,311.0,465.0,205.0,18.79,0.0,24.95,0.0,0.0,0.0,0.0,0.0,0.0
Raai vanthu,P062,19.39,0.0,0.0,410.0,79.95,864.0,423.0,596.0,268.0,24.1,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0
Rani,P063,18.83,0.0,0.0,377.0,78.55,2926.0,1878.0,1112.0,1408.0,58.64,0.0,69.04,0.0,0.0,0.0,0.0,0.0,0.0
