name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
"Mango, ripe, totapari",E042,0.41,1.73,12.75,248.0,84.14,175.0,168.0,88.71,97.56,18.64,70.06,0.0,9.24,7.33,1.05,0.86,0.0,0.0
Mangosteen,E043,0.63,1.87,11.41,219.0,85.52,176.0,165.0,88.6,95.47,20.48,68.12,0.0,8.91,5.12,1.67,2.12,0.5,0.0
Manila tamarind,E044,3.56,4.4,13.54,342.0,74.54,27.81,33.45,19.49,33.45,6.01,13.48,0.0,12.13,3.45,4.12,4.56,0.5,0.0
"Musk melon, orange flesh",E045,0.42,1.51,4.24,97.0,92.97,92.94,25.18,159.0,17.86,97.34,61.33,0.0,2.99,0.62,0.71,1.65,0.0,0.0
"Musk melon, yellow flesh",E046,0.53,1.49,5.4,116.0,91.84,79.0,21.12,114.0,15.37,72.56,41.54,0.0,2.36,0.51,0.84,1.01,0.0,0.0
"Orange, pulp",E047,0.7,1.29,7.92,156.0,89.61,37.11,19.26,47.63,14.99,36.52,11.11,0.0,6.86,2.86,1.21,2.79,0.0,0.0
"Palm fruit, tender",E048,0.5,2.4,4.92,101.0,91.93,33.36,38.32,76.42,32.85,50.64,25.78,0.0,0.19,0.17,0.02,0.0,0.84,0.0
"Papaya, ripe",E049,0.42,2.83,4.61,100.0,91.47,56.08,26.35,48.24,16.83,10.33,37.91,0.0,4.09,2.44,1.15,0.5,0.0,0.0
Peach,E050,0.86,2.13,7.82,168.0,88.31,23.9,209.0,62.61,207.0,62.16,0.44,0.0,6.95,1.15,0.89,4.61,0.0,0.0
Pear,E051,0.36,4.48,8.09,157.0,86.49,75.94,24.26,101.0,24.26,84.54,16.58,0.0,7.39,3.51,2.74,1.12,0.0,0.0
Phalsa,E052,1.66,4.54,15.09,299.0,77.48,164.0,167.0,381.0,162.0,362.0,18.66,0.0,13.0,6.12,4.66,2.22,0.75,0.0
Pineapple,E053,0.52,3.46,9.42,180.0,86.06,51.09,31.15,47.76,31.15,17.75,30.0,0.0,8.56,1.21,3.12,4.23,0.0,0.0
Plum,E054,0.64,2.07,12.1,238.0,84.44,20.05,170.0,59.08,166.0,59.08,0.0,0.0,10.13,3.5,3.42,3.21,0.0,0.0
"Pomegranate, maroon seeds",E055,1.33,2.83,11.58,229.0,83.55,42.5,38.51,40.99,35.3,39.16,1.82,0.0,10.87,1.01,1.74,8.12,0.0,0.0
Pummelo,E056,0.68,0.8,10.64,210.0,86.97,115.0,41.0,187.0,32.3,134.0,53.21,0.0,4.38,2.09,1.44,0.86,0.46,0.0
"Raisins, dried, black",E057,2.57,3.92,71.29,1279.0,19.69,62.47,46.53,159.0,46.53,147.0,11.91,0.0,61.51,23.12,16.22,22.17,1.29,0.0
"Raisins, dried, golden",E058,2.76,4.56,68.79,1241.0,21.5,121.0,32.64,125.0,32.64,93.96,30.87,0.0,57.12,26.54,15.58,15.0,1.05,0.0
Rambutan,E059,0.68,1.02,16.84,306.0,80.87,144.0,160.0,362.0,145.0,160.0,202.0,0.0,15.8,8.78,6.0,1.02,0.0,0.0
Sapota,E060,0.92,9.6,13.9,307.0,73.64,389.0,255.0,358.0,220.0,233.0,125.0,0.0,12.3,8.6,2.85,0.85,0.0,0.0
Soursop,E061,0.74,4.95,11.94,260.0,80.85,135.0,38.54,132.0,33.98,77.98,54.02,0.0,9.83,7.99,1.66,0.18,0.12,0.0
Star fruit,E062,0.79,2.81,4.51,110.0,91.18,20.77,33.62,191.0,30.12,151.0,39.9,0.0,3.95,2.22,1.73,0.0,0.0,0.0
Strawberry,E063,0.97,2.5,3.4,103.0,92.03,66.21,77.87,291.0,77.87,179.0,112.0,0.0,3.56,1.9,1.6,0.07,0.1,0.0
"Tamarind, pulp",E064,2.92,5.31,67.35,1207.0,20.83,27.26,34.89,17.85,34.89,4.99,12.86,0.0,52.88,12.31,14.53,26.04,0.0,0.0
"Water melon, dark green (sugar baby)",E065,0.6,0.7,3.86,85.0,94.54,39.7,24.84,67.46,24.84,51.9,15.55,0.0,3.66,1.91,0.31,1.44,0.0,0.0
"Water melon, pale green",E066,0.59,0.78,3.02,70.0,95.33,50.33,10.96,65.38,10.96,54.86,10.52,0.0,3.0,2.57,0.21,0.22,0.0,0.0
Wood Apple,E067,3.14,5.21,7.52,327.0,79.36,877.0,595.0,1435.0,559.0,799.0,636.0,0.0,3.81,1.38,1.41,1.02,2.79,0.0
Zizyphus,E068,1.34,3.73,9.4,204.0,84.39,119.0,126.0,35.25,110.0,27.18,8.07,0.0,8.29,4.3,2.98,1.01,0.0,0.0
Beet root,F001,1.95,3.31,6.18,149.0,86.95,31.17,21.96,64.21,21.96,57.23,6.98,0.0,4.35,1.67,1.46,1.21,1.69,0.0
"Carrot, orange",F002,0.95,4.18,5.55,139.0,87.69,87.71,21.01,266.0,21.01,241.0,24.38,0.0,3.23,0.11,1.15,1.98,1.24,0.0
"Carrot, red",F003,1.04,4.49,6.71,160.0,86.07,88.91,18.27,270.0,18.27,246.0,24.1,0.0,3.96,1.08,1.13,1.75,1.39,0.0
Colocasia,F004,3.31,3.22,17.85,372.0,73.49,41.84,22.92,77.41,22.92,69.01,8.4,0.0,0.9,0.54,0.25,0.12,13.88,0.0
Lotus root,F005,1.94,4.7,14.67,332.0,76.26,249.0,84.12,414.0,84.12,291.0,123.0,0.0,0.24,0.07,0.11,0.07,13.22,0.0
"Potato, brown skin, big",F006,1.54,1.71,14.89,292.0,80.72,43.56,13.82,129.0,4.06,97.45,31.84,0.0,0.32,0.24,0.05,0.04,11.47,0.0
"Potato, brown skin, small",F007,1.35,1.69,12.9,255.0,82.97,44.03,11.94,128.0,7.37,54.34,73.68,0.0,0.44,0.26,0.08,0.1,10.29,0.0
"Potato, red skin",F008,1.83,1.68,15.43,306.0,79.72,39.87,14.91,121.0,2.53,92.44,28.78,0.0,0.38,0.22,0.1,0.05,13.08,0.0
